material_id,formula_pretty,spacegroup,formation_energy_per_atom,band_gap,energy_above_hull,total_magnetization,ordering,total_magnetization_normalized_formula_units,num_magnetic_sites,theoretical,Magmom_per_B
mp-27820,B7H10,P2_12_12_1,-0.15493867105392248,2.5117,0.03199152802138894,2.77e-05,NM,3.4625e-06,0,False,4.946428571428571e-07
mp-2192,BPt,P6_3/mmc,0.07020437541666791,0.0,0.20188345020834042,0.0027082,NM,0.0013541,0,True,0.0013541
mp-1183580,Cd3B,I4/mmm,0.8491517252083338,0.0,0.8491517252083338,0.0002952,NM,0.0002952,0,True,0.0002952
mp-1103476,DyB12,Fm-3m,-0.25008072923076863,0.0,0.0,1e-07,NM,1e-07,0,False,8.333333333333334e-09
mp-1063752,BRh,P6_3/mmc,-0.16441207958333237,0.0,0.21355027500000023,3.68e-05,NM,1.84e-05,0,False,1.84e-05
mp-21502,BRh2,Pnma,-0.19308788138888744,0.0,0.07446695583333263,0.0018983,NM,0.000474575,0,False,0.000474575
mp-1196893,B3Pd16,C2/c,-0.20859720671052623,0.0,0.002347663157894253,1e-07,NM,5e-08,0,True,1.6666666666666667e-08
mp-1226103,Co4B,Pm,-0.10412599583333322,0.0,0.05670506599999925,15.6448602,FM,5.2149534,12,True,5.2149534
mp-2501,BMo2,I4/mcm,-0.31649893305555565,0.0,0.01832427999999986,1e-07,NM,5e-08,0,False,5e-08
mp-580,PuB2,P6/mmm,-0.4013453227777776,0.0,0.019714249583332233,4.0148694,FM,4.0148694,1,False,2.0074347
mp-1915,Fe2B,I4/mcm,-0.30749344472222145,0.0,0.0,9.2991168,FM,4.6495584,4,False,4.6495584
mp-29721,B3H5,Cmc2_1,-0.14642635281250005,3.8726000000000003,0.03827108490055853,0.0,NM,0.0,0,False,0.0
mp-1183667,B4H5,P2_1/c,-0.17237896831018495,2.8507,0.01633071043404577,0.0001685,NM,1.053125e-05,0,True,2.6328125e-06
mp-619,UB4,P4/mbm,-0.5080195338333325,0.0,0.0,0.0012504,NM,0.0003126,0,False,7.815e-05
mp-1188836,V5B3,I4/mcm,-0.6196104809375012,0.0,0.057914717187498965,0.000793,NM,0.0003965,0,True,0.00013216666666666666
mp-1087495,Tc3B,Cmcm,-0.26816822854166666,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-2252,ScB2,P6/mmm,-0.8388382277777767,0.0,0.0,4e-07,NM,4e-07,0,False,2e-07
mp-758933,B8O,C2/m,-0.6004884509722227,2.3536,0.0259760522222221,3.52e-05,NM,5.866666666666667e-06,0,True,7.333333333333333e-07
mp-1002188,TcB,P-6m2,-0.28240139708333345,0.0,0.10273136659091264,0.0020834,NM,0.0020834,0,True,0.0020834
mp-1104127,NiB12,Fm-3m,0.2567024369230768,0.0,0.29440814658653824,0.0167731,FM,0.0167731,1,False,0.0013977583333333332
mp-1113,BW2,I4/mcm,-0.26186354305555426,0.0,0.0,1.07e-05,NM,5.35e-06,0,False,5.35e-06
mp-1238821,Si3B,Pm-3m,0.9601961827083336,0.0,0.9736054995833339,3.64e-05,NM,3.64e-05,0,True,3.64e-05
